Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
Biola University,25,1123,44573,19688,23969,12000,87464.81,71594,0.7286
Birmingham Southern College,26,1177,44512,21500,27000,9500,106237.94,89942.5,0.6422
Black Hills State University,21,993,15906,13575,25950,9500,54778.12,45782.5,0.8924
Bloomfield College,0,835,38858,18500,31000,11000,42126.74,32407,0.5464
Bloomsburg University of Pennsylvania,21,990,21732,18750,25568,8750,77200.99,72266.5,0.8856
Bluefield State College,19,905,14940,13000,20500,11000,29473.67,21135,0.4267
Boise State University,23,1050,18227,16309,24898,11582,45640.12,33780.5,0.7766
Boston College,32,1375,58639,19000,19000,12042,103787.15,81102,0.3222
Boston University,28,1279,59036,25500,27000,15562.5,106244,91507,0.4561
Bowdoin College,32,1423,58200,18000,19500,10978,111449.46,89780.5,0.1495
Bowie State University,19,886,18581,16500,23320,15500,57366.51,45228,0.5176
Bowling Green State University-Main Campus,22,1009,22416,17500,26000,9500,75338.2,70038,0.7247
Bradley University,26,1163,40330,23677,27000,10803,93987.58,85839,0.6694
Brandeis University,30,1347,58850,26000,27000,12000,113024.02,97995,0.3704
Brenau University,20,957,34107,18638,28956,12500,52547.48,40713,0.7829
Bridgewater College,23,1033,41180,19500,27000,7500,91813.53,82400,0.5493
Bridgewater State University,22,991,19303,19250,24998,11250,77015.48,72560,0.786
Brigham Young University-Hawaii,24,1081,14544,5780,10000,5500,39733.27,22339,0.3604
Brigham Young University-Idaho,23,1036,10438,7725,11966.5,6250,48558.75,31581,0.9963
Brigham Young University-Provo,29,1277,17174,9260.5,11000,7400,42156.62,20347,0.4942
Brown University,32,1425,58140,15164,16000,11966.5,103616.9,84559,0.0918
Bryan College-Dayton,23,1053,29489,9722,18750,8962,62141.47,55458.5,0.3762
Bryant University,25,1137,50858,26706,27000,10125,112373.37,104089,0.7655
Bryn Mawr College,30,1334,57586,22650,25000,12000,91611.46,70896,0.3992
Bucknell University,30,1306,59090,25000,27000,13650.5,121378.65,102976,0.2951
Buena Vista University,23,1050,39011,17879,24218,12500,53455.6,47120.5,0.6955
Buffalo State SUNY,0,975,18088,15895.5,21665.5,10750,57184.5,45557,0.4853
Butler University,28,1212,47010,25000,26600,10975,109689.19,99069,0.661
Cabrini College,20,896,43541,14875,26000,6250,96777.59,91613,0.7428
Caldwell College,21,949,38223,19125,26499,11930,66402.37,50740,0.6408
California Baptist University,21,984,39026,19500,27686.5,18750,75462.81,63947,0.788
California College of the Arts,0,0,53837,24500,27000,13182,63904.48,37618,0.8157
California Lutheran University,24,1108,48630,19500,23000,13000,95022.25,76461,0.4802
California Maritime Academy,24,1080,22223,21500,26000,18925,74171.52,60317.5,0.748
California Polytechnic State University-San Luis Obispo,28,1242,23867,17500,19500,12000,86747.55,72114,0.3123
California State Polytechnic University-Pomona,23,1070,19402,15703.5,18001,11691,46768.74,30962,0.5218
California State University-Bakersfield,19,901,18061,11000,16174.5,9000,38023.07,28069.5,0.6626
California State University-Channel Islands,20,954,22570,12500,16000,10325,51655.42,32103,0.6443
California State University-Chico,22,1014,22926,14889.5,16500,11596,58551.47,37864,0.7161
California State University-Dominguez Hills,17,845,12957,14191,17201.5,12390,33355.93,25199.5,0.5747
California State University-East Bay,19,910,20676,12500,16312,11349.5,36865.24,22898,0.6872
California State University-Fresno,19,920,16377,14500,16500,12000,40758.26,28781,0.5815
California State University-Fullerton,22,1021,16663,12900.5,14718,10224,46741.81,31500,0.4579
California State University-Long Beach,21,1012,18085,14494,15775,11000,45976.99,30725,0.3082
California State University-Los Angeles,18,871,14747,12000.5,14125,9834,27649.23,20015,0.6752
California State University-Monterey Bay,21,976,18479,13750,17750,10406.5,56504.19,38387,0.444
California State University-Northridge,19,918,20899,12500,15000,9000,39205.28,27373,0.4624
California State University-Sacramento,20,945,19380,15000,17250,12000,43423.41,28449,0.6968
California State University-San Bernardino,18,888,17030,16431,18482,12500,40191.82,28986.5,0.5831
California State University-San Marcos,21,966,20386,14000,18500,12500,49340.92,31166,0.6251
California State University-Stanislaus,19,917,17161,14000,16500,13713,43469.3,31658.5,0.7215
California University of Pennsylvania,19,964,23081,19168,25000,11500,66158.08,60595,0.9269
Calvin College,26,1183,39013,22500,26870,12500,97807.66,93258,0.6975
Campbell University,22,1030,40323,17000,24623.5,10500,63502.94,50771,0.6983
Campbellsville University,21,985,31545,12000,19500,9500,53677.57,45765,0.6844
Canisius College,25,1101,42796,20000,25000,10800,82047.93,78118,0.7251
Capital University,24,1102,42600,21500,27000,10728.5,73395.86,64146.5,0.7604
Cardinal Stritch University,22,1027,37563,24583,27875,19355,58949.97,48144.5,0.8423
Carleton College,31,1406,58275,16644,17500,10000,104347.16,91175.5,0.2095
Carlow University,20,946,35640,21500,27000,12500,57010.98,47364,0.9522
Carnegie Mellon University,32,1432,59710,23000,25000,14750,103727.25,90107.5,0.2549
Carroll College,24,1112,38575,21500,27000,7500,79554.2,68497,0.53
Carroll University,24,1090,37963,19500,27000,9500,80731.12,76166.5,0.8114
Carson-Newman University,23,1064,32446,15505,25500,8652,61406.98,52873,0.6657
Carthage College,24,1105,44910,20750,27000,11000,95747.7,89579,0.7018
Case Western Reserve University,31,1377,55783,22500,25000,14250,72928.28,57740,0.4188
Castleton State College,20,954,20799,18625,25596,8250,76421.19,69241,0.9205
Catawba College,0,985,37818,16500,22780,9277.5,74358.57,61774,0.4058
Catholic University of America,25,1118,54023,22000,26000,9500,120106.07,106352,0.6007
Cazenovia College,0,0,41576,15250,25740,5500,66686.68,54278,0.7795
Cedar Crest College,21,948,41240,23250,30575,10500,63707.67,53743.5,0.588
Cedarville University,27,1195,33652,19500,25000,12000,90859.17,83099,0.7401
Centenary College,21,956,44586,19837.5,25000,12000,80140.31,64948,0.9094
Central College,24,1089,43491,27000,27800,12498.5,89009.31,77865,0.658
Central Connecticut State University,22,1006,20372,16852.5,22894,11250,74112.94,66799.5,0.6413
Central Methodist University-College of Liberal Arts and Sciences,22,1006,32000,12580,17285,9500,55714.2,44654,0.6506
Central Michigan University,22,1029,21523,21721.5,27000,12000,77212.89,70233.5,0.6304
Central State University,17,825,17380,17411,39068,10500,34544.86,25877,0.3328
Central Washington University,21,986,21401,15916,21267,11109,64896.89,55180,0.8216
Centre College,29,1268,46400,21450,26063,8750,103884.41,90526,0.6857
Chaminade University of Honolulu,21,972,30801,15969.5,24082,12500,53188.8,35422,0.8359
Champlain College,25,1122,44636,21500,27000,10950,90632.33,80415,0.7079
Chapman University,27,1208,57020,19000,20250,14000,71813.4,53889,0.4471
Charleston Southern University,21,973,33245,15750,28000,10500,57372.21,44120.5,0.6887
Chestnut Hill College,21,960,42663,23500,27000,12500,60225.69,44204,0.5785
Chicago State University,19,892,18472,20862.5,27499,18111,25960.58,19349,0.2865
Chowan University,16,777,32188,9500,32000,9500,53764.13,41295,0.6154
Christian Brothers University,24,1105,34413,20600,27000,12000,59020.1,41418,0.4745
Christopher Newport University,26,1161,24696,19736.5,25000,12257,100542.29,95158,0.5902
Citadel Military College of South Carolina,23,1080,24827,19500,24211,12500,94258.6,83389,0.8041
Claflin University,18,873,29849,22055,30000,12265,35924.15,27154,0.526
Claremont McKenna College,31,1397,60065,12086,14000,7125,112417.66,88986.5,0.1173
Clarion University of Pennsylvania,0,915,20478,19000,26000,9500,62100.44,57055.5,0.9348
Clark Atlanta University,19,880,34201,20000,31500,11000,55844.37,41956,0.568
Clark University,0,0,47248,23000,26000,10250,88024.49,75720.5,0.6154
Clarkson University,26,1187,54772,24187,27000,14379,89280.81,82272,0.6403
Clayton State University,20,939,17487,18997,28117.5,14250,40773.94,30868,0.477
Clemson University,29,1259,27944,20008,22388.5,12000,97916.93,87306,0.5787
Cleveland State University,22,1030,22041,16500,24000,11888,43936.8,31001,0.6287
Coastal Carolina University,21,993,21601,14750,25000,8250,79662.53,67086.5,0.7404
Coe College,26,1166,45387,21875,27000,9500,81256.19,75314,0.6171
Coker College,20,956,32029,20850,31750,11500,50898.45,34833,0.5326
Colby College,30,1343,57300,18500,19461,6000,124510.95,104003,0.2604
Colby-Sawyer College,0,0,50644,21780,27000,8375,98809.94,90572,0.8312
Colgate University,31,1370,57745,15062.5,15625,7750,110016.68,91654,0.2638
College for Creative Studies,22,1010,46095,24000,28250,10124,79319.28,65746,0.486
College of Charleston,26,1165,25086,17000,22341,9500,90152.6,71255,0.7031
College of Mount Saint Vincent,20,919,37738,25000,28500,9500,70753.34,53055.5,0.731
College of Mount St Joseph,22,989,31989,22062.5,32000,21000,70365.07,62912,0.8755
College of Our Lady of the Elms,19,928,40802,22160.5,27000,13624.5,71994.52,71106.5,0.7492
College of Saint Benedict,26,1157,47734,23250,26337,8750,105916,94964,0.7554
